Kitap Adı,Kitabın kategorisi,Kitap Yazarı,Yayınevi,100 Üzerinden Aldığı Puan,Favorilere Ekleyen Kişi Sayısı,Okuyacağım olarak işaretlenmiş sayısı,Okuyorum olarak işaretlenmiş sayısı,Okudum olarak işaretlenmiş sayısı,Liste Fiyatı,Yayın Tarihi,Dil,Sayfa Sayısı,Cilt Tipi,Boyut,Kağıt Cinsi,Toplam Satılma Sayısı,Toplam Yorum Sayısı
Sırlar /  Gölgeler Serisi 3. Kitap,Kitap > Edebiyat > Roman (Çeviri) > Kitap > Orijinal Dil > İngilizce,Jessica Verday,PEGASUS YAYINLARI,4 / 5 (18 oy),178,9,2,20,"299,00",21.02.2014,TÜRKÇE,304,Karton Kapak,13.5 x 21 cm,Kitap Kağıdı,153,4
"Dijital DuyguKorkudan Nefrete, Yastan Emojilere Dijital Duyguyu Anlamak",Kitap > Kültür > Popüler Kültür,Dr. Öğr. Üyesi Derya Gül Ünlü,SARMAL KİTABEVİ,Puan Yok,18,0,1,0,"240,00",11.01.2024,TÜRKÇE,304,Karton Kapak,13.5 x 19.5 cm,Kitap Kağıdı,24,0
Bir Avuç Toprak da Sen At AnnemGüneydoğu’daki Bir Askerin Günlüğü,Kitap > Edebiyat > Anı (Hatırat),Sami Çelik,TRUVA YAYINLARI,4 / 5 (4 oy),26,0,0,5,"220,00",12.08.2021,TÜRKÇE,248,Karton Kapak,13.5 x 21 cm,Kitap Kağıdı,92,4
Ancak Söndüğünde Parlayan,Kitap > Felsefe-Düşünce > Diğer,Sevgi Ozan,FİHRİST KİTAP,5 / 5 (5 oy),21,2,0,8,"249,50",07.06.2022,TÜRKÇE,170,Karton Kapak,13 x 19.5 cm,Kitap Kağıdı,28,5
Bayburt-İsviçre Hattı,Kitap > Edebiyat > Roman (Yerli),Fuat Baş,BİLGE KÜLTÜR SANAT,4 / 5 (6 oy),24,4,0,3,"240,00",15.05.2015,TÜRKÇE,320,Karton Kapak,12.5 x 19.5 cm,Kitap Kağıdı,48,4
Cesur Gardiyan,Kitap > Edebiyat > Roman (Çeviri),Elizabeth Hoyt,PEGASUS YAYINLARI,5 / 5 (25 oy),133,19,0,37,"299,00",05.02.2021,TÜRKÇE,376,Karton Kapak,13.5 x 21 cm,Kitap Kağıdı,429,11
Su Damlası,Kitap > Bilim & Mühendislik > Diğer,Eşref Atabey,SARMAL KİTABEVİ,5 / 5 (3 oy),31,3,1,4,"250,00",08.06.2021,TÜRKÇE,229,Karton Kapak,13.5 x 21 cm,Kitap Kağıdı,73,0
İşte Hayat!,Kitap > Diğer > Söyleşi,Özgün Biçer,DESTEK YAYIN GRUBU-KAMPANYA,Puan Yok,1,0,0,0,"200,00",02.02.2021,TÜRKÇE,184,Karton Kapak,13.5 x 19.5 cm,Kitap Kağıdı,1,0
Erdem SinyallemeDarwinist Politika ve İfade Özgürlüğü Üzerine Denemeler,Kitap > Siyaset > Araştırma-İnceleme,Geoffrey Miller,LİBERUS,4 / 5 (5 oy),72,5,0,1,"200,00",07.06.2022,TÜRKÇE,156,Karton Kapak,13 x 19.5 cm,Kitap Kağıdı,183,1
Siyaset Bilimlerinin RestorasyonuYapay Sivil Devlet Varsayımına Karşı Doğal Sosyal Devlet Teorisi,Kitap > Felsefe-Düşünce > Diğer,Karl Ludwig von Haller,LİBERUS,5 / 5 (8 oy),434,17,2,3,"400,00",10.07.2023,TÜRKÇE,364,Karton Kapak,13.5 x 19.5 cm,Kitap Kağıdı,229,3
Kadın ManzaralarıToplu Öyküler,Kitap > Edebiyat > Hikaye (Çeviri),Kang Kyung-ae,FİHRİST KİTAP,5 / 5 (9 oy),107,10,0,8,"309,50",07.06.2022,TÜRKÇE,224,Karton Kapak,13 x 19.5 cm,Kitap Kağıdı,79,5
Bir Tilkiyi Nasıl Evcilleştirirsin?,Kitap > Tarih > Araştırma-İnceleme,Lee Alan Dugatkin,LİBERUS,5 / 5 (4 oy),145,8,0,6,"300,00",10.01.2023,TÜRKÇE,250,Karton Kapak,13 x 19.5 cm,Kitap Kağıdı,113,0
Söz Dinlemez Kalbim,Kitap > Edebiyat > Roman (Çeviri) > Kitap > Orijinal Dil > İngilizce,Candace Camp,PEGASUS YAYINLARI,4 / 5 (33 oy),239,8,0,45,"299,00",06.08.2012,TÜRKÇE,384,Karton Kapak,13.5 x 21 cm,Kitap Kağıdı,365,10
Peggy Sue ve Hayaletler Serisi Takım Set (4 Kitap),Kitap > Edebiyat > Roman (Çeviri),Serge Brussolo,PEGASUS YAYINLARI,5 / 5 (22 oy),200,19,2,13,"1.086,00",31.01.2020,TÜRKÇE,1312,Karton Kapak,13.5 x 21 cm,Kitap Kağıdı,294,13
Afgan Savaşı,Kitap > Edebiyat > Roman (Çeviri),Steven Pressfield,BİLGE KÜLTÜR SANAT,5 / 5 (17 oy),166,13,1,15,"275,00",05.10.2007,TÜRKÇE,336,Karton Kapak,13.5 x 21.5 cm,3. Hm. Kağıt,220,10
Rusçuk AyanıTirsiniklizade İsmail Ağa ve Dönemi (1796-1806),Kitap > Tarih > Çağlar-Dönemler > Kitap > Tarih > Kişiler,Meryem Kaçan Erdoğan,YEDİTEPE YAYINEVİ-KAMPANYA,5 / 5 (24 oy),197,22,5,12,"280,00",08.02.2010,TÜRKÇE,312,Karton Kapak,13.5 x 21 cm,Kitap Kağıdı,245,12
Miyav!  Kafayı Mı Yediniz Siz?,Kitap > Edebiyat > Roman (Çeviri),Gilles Legardinier,PEGASUS YAYINLARI,5 / 5 (13 oy),111,6,3,17,"299,00",01.09.2016,TÜRKÇE,352,Karton Kapak,13.5 x 21 cm,Kitap Kağıdı,145,11
Mars Satrancı / John Carter V,Kitap > Edebiyat > Bilimkurgu-Fantazya,Edgar Rice Burroughs,FİHRİST KİTAP,5 / 5 (8 oy),74,13,0,6,"354,50",11.01.2023,TÜRKÇE,260,Karton Kapak,13 x 19.5 cm,Kitap Kağıdı,97,3
Bir Gün Daha,Kitap > Kişisel Gelişim,Esat Karlıdağ,YEDİVEREN YAYIN GRUBU - KAMPANYA,Puan Yok,14,0,0,0,"150,00",26.10.2023,TÜRKÇE,160,Karton Kapak,13.5 x 19.5 cm,Kitap Kağıdı,12,0
