Kitap Adı,Kitabın kategorisi,Kitap Yazarı,Yayınevi,100 Üzerinden Aldığı Puan,Favorilere Ekleyen Kişi Sayısı,Okuyacağım olarak işaretlenmiş sayısı,Okuyorum olarak işaretlenmiş sayısı,Okudum olarak işaretlenmiş sayısı,Liste Fiyatı,Yayın Tarihi,Dil,Sayfa Sayısı,Cilt Tipi,Boyut,Kağıt Cinsi,Toplam Satılma Sayısı,Toplam Yorum Sayısı
Zeytindağı (Günümüz Türkçesiyle),Kitap > Tarih > Araştırma-İnceleme,Falih Rıfkı Atay,POZİTİF YAYINLARI,5 / 5 (69 oy),2.967,136,22,178,"150,00",18.12.2023,TÜRKÇE,176,Karton Kapak,13.5 x 21 cm,Kitap Kağıdı,4424,46
Peygamberin Şarkısı,Kitap > Edebiyat > Roman (Çeviri),Paul Lynch,DELİDOLU,4 / 5 (53 oy),1.177,92,12,66,"290,00",28.08.2024,TÜRKÇE,240,Karton Kapak,13.5 x 19.5 cm,Kitap Kağıdı,2324,27
Kardeşimin Koruyucusu,Kitap > Diğer > Gençlik Kitapları > Edebiyat,Julie Lee,TİMAŞ GENÇ,5 / 5 (122 oy),2.352,166,16,232,"345,00",19.07.2025,TÜRKÇE,368,Karton Kapak,13.5 x 20.5 cm,Kitap Kağıdı,5350,82
Kuru Kız,Kitap > Edebiyat > Roman (Yerli),Ayfer Tunç,CAN YAYINLARI,5 / 5 (247 oy),5.263,304,34,589,"260,00",05.04.2023,TÜRKÇE,216,Karton Kapak,12.5 x 19.5 cm,Kitap Kağıdı,9695,166
Olasılıksız,Kitap > Edebiyat > Roman (Çeviri) > Kitap > Orijinal Dil > İngilizce,Adam Fawer,APRIL YAYINCILIK,5 / 5 (5047 oy),23.146,2.144,373,8.358,"430,00",07.09.2023,TÜRKÇE,496,Karton Kapak,13.5 x 21 cm,Kitap Kağıdı,36046,4.439
Babil’in En Zengin Adamı,Kitap > Ekonomi > Araştırma-İnceleme,George S. Clason,PANAMA YAYINCILIK,5 / 5 (48 oy),1.412,93,6,78,"290,00",12.02.2024,TÜRKÇE,224,Karton Kapak,13.5 x 21 cm,Kitap Kağıdı,2644,38
Aradığın Şey Kütüphanede Saklı,Kitap > Edebiyat > Roman (Çeviri),Michiko Aoyama,DOMİNGO YAYINEVİ,5 / 5 (70 oy),2.241,81,20,149,"285,00",22.08.2024,TÜRKÇE,224,Karton Kapak,14 x 21 cm,Kitap Kağıdı,2475,46
Telefon Melefon Yok,Kitap > Çocuk Kitapları > Hikaye,Şermin Yaşar,KRONİK KİTAP,5 / 5 (51 oy),2.420,247,19,108,"245,00",29.08.2025,TÜRKÇE,128,Karton Kapak,13.5 x 21 cm,Kitap Kağıdı,10456,30
Kayıp Tanrılar Ülkesi,Kitap > Edebiyat > Roman (Yerli),Ahmet Ümit,YAPI KREDİ YAYINLARI,5 / 5 (1189 oy),17.155,1.697,264,2.800,"460,00",09.08.2023,TÜRKÇE,504,Karton Kapak,13.5 x 23 cm,Kitap Kağıdı,39576,747
Oh Ne Ala Memleket,Kitap > Edebiyat > Roman (Yerli),Şermin Yaşar,DOĞAN ÇOCUK,5 / 5 (253 oy),3.668,269,38,617,"350,00",22.07.2020,TÜRKÇE,168,Karton Kapak,13 x 21 cm,Kitap Kağıdı,15359,149
İyiler Yalnız Değildir,Kitap > Edebiyat > İnceleme,Fatma Bayram,TK KİTAP,5 / 5 (72 oy),2.548,165,22,90,"200,00",22.11.2024,TÜRKÇE,194,Karton Kapak,13.5 x 21 cm,Kitap Kağıdı,4730,38
İlk Okuma - Neden Yeriz,Kitap > Çocuk Kitapları > Kaynak Kitaplar > Bilim > Kitap > Çocuk Kitapları > 6-12 Yaş > Eğitici ve Yardımcı Kitaplar,Stephanie Turnbull,TÜBİTAK YAYINLARI,5 / 5 (347 oy),1.966,136,28,413,"29,00",27.08.2019,TÜRKÇE,31,Karton Kapak,15 x 20.5 cm,Kitap Kağıdı,15841,178
Evlenmeden Önce,Kitap > Psikoloji > İnceleme,Doğan Cüceloğlu,KRONİK KİTAP,5 / 5 (247 oy),11.132,487,64,540,"245,00",10.12.2021,TÜRKÇE,208,Karton Kapak,13.5 x 21 cm,Kitap Kağıdı,18534,143
Harry Potter ve Ateş Kadehi,"Kitap > Çocuk Kitapları > 6-12 Yaş > Hikaye, Roman & Masal > Kitap > Çocuk Kitapları > 12+ Yaş > Hikaye, Roman & Masal > Kitap > Diğer > Gençlik Kitapları > Edebiyat > Kitap > Orijinal Dil > İngilizce",J. K. Rowling,YAPI KREDİ YAYINLARI,5 / 5 (2157 oy),8.999,990,188,3.193,"550,00",31.10.2019,TÜRKÇE,664,Karton Kapak,13.5 x 19.5 cm,Kitap Kağıdı,30298,891
Zaman Bisikleti,"Kitap > Çocuk Kitapları > 6-12 Yaş > Hikaye, Roman & Masal",Bilgin Adalı,CAN ÇOCUK YAYINLARI,5 / 5 (1200 oy),8.554,707,92,1.445,"200,00",06.07.2021,TÜRKÇE,128,Karton Kapak,12.5 x 19.5 cm,Kitap Kağıdı,59591,501
Ölmek İstiyorum Ama Tteokbokki de Yemek İstiyorum,Kitap > Kişisel Gelişim,Baek Sehee,NOVA KİTAP,4 / 5 (40 oy),1.656,53,9,89,"110,00",24.10.2024,TÜRKÇE,144,Karton Kapak,13.5 x 21 cm,Kitap Kağıdı,2203,29
Kiraz Ağacının Ardından,Kitap > Çocuk Kitapları > Roman,Paola Peretti,TİMAŞ GENÇ,5 / 5 (45 oy),1.453,138,18,92,"200,00",04.03.2025,TÜRKÇE,192,Karton Kapak,13.5 x 20.5 cm,Kitap Kağıdı,3441,25
Milli Mücadele KahramanlarıHer Şey Vatan İçin,Kitap > Çocuk Kitapları > Diğer,Metin Özdamarlar,EĞLENCELİ BİLGİ,5 / 5 (36 oy),655,51,11,61,"160,00",06.02.2024,TÜRKÇE,160,Karton Kapak,15 x 19 cm,Kitap Kağıdı,5876,25
